Expediente;Apellido P;Apellido M;Primer Nombre;fechadenacimento;correo;telefono
110000;HERNANDEZ;FERNANDEZ;JUANA;1988-1-10;pepecas123@gmail.com;662299089
110001;SERNA;NAVARRO;LUNES;1993-5-28;correo@servidor.com;66211
110002;SERNA;NAVARRO;MARTES;1993-5-29;correomartes@servidor.com;66211
110003;SERNA;NAVARRO;MIERCOLES;1993-5-17;correomiercoles@servidor.com;66211
110004;SERNA;NAVARRO;JUEVES;1993-5-10;correojueves@servidor.com;66211
110005;SERNA;NAVARRO;VIERNES;1993-5-8;correoviernes@gmail.com;66211
120001;RENTERIA;GALLEGOS;MOISES;1996-3-3;mois1996mm@gmail.com;95930
120002;RENTERIA;GALLEGOS;JOEL;1996-3-23;elmasloco@gmail.com;695931
120003;RENTERIA;DE;JESUS;1995-3-23;elmenosloco@gmail.com;932
120004;RENTERIA;MAS;SIOSARE;1994-3-23;elmedioloco@gmail.com;695933
120005;RENTERIA;MANGANITO;FULANITO;1993-3-23;elmasdiabolico@gmail.com;662
123460;REYES;YEPIZ;MANUEL DAVID;2017-9-11;chleros96@hotmail.com;662187839
123461;REYES;CABRERA;SANDRA LUZ;1996-9-16;sandraluzyepix@hotmail.com;662106249
123462;REYES;MONGE;JESUS FRANCISCO;1996-11-25;cleros96@hotmail.com;662487069
123463;REYES;PUENTE;ALEJANDRO;1991-10-20;negro_20@hotmail.com;662112990
123464;REYES;ANDRADE;JOEL;1995-5-17;joel_matrixvdr@hotmail.com;662114164
132145;MONGE;RAMOS;LEO;1993-1-29;mariadb@practica.com;661930329
133598;MONGE;ALMADA;MARCELA;1993-6-29;mariadb5@practica.com;662193038
133658;MONGE;RENTERIA;RAUL;1993-9-29;mariadb2@practica.com;662193331
133660;MONGE;OZUNA;RAUL;1993-7-28;mariadb3@practica.com;662130332
133661;MONGE;HERNANDEZ;MANUEL;1993-5-29;mariadb4@practica.com;662193033
135489;MONGE;CUEN;MAX;1993-3-1;mariadb1@practica.com;621930330
142342;GALVEZ;QUINTANA;MANUEL;1885-12-14;manuel@correo.com;662342342
142343;GASTELUM;ARMENTA;DORA;1887-5-1;dora@correo.com;662342343
142344;CANTU;DURAN;CARLOS;1890-1-23;carlos@correo.com;662342344
142345;ALONSO;OTHON;ALFREDOS;1879-5-26;alfredo@correo.com;662342345
150001;HERNANDEZ;ONTIVEROS;ISAI;1992-10-8;papas123@gmail.com,;662299085
150002;HERNANDEZ;ONTIVEROS;GABRIEL;1989-5-13;papas321@gmail.com;662305787
150003;HERNANDEZ;MARTINEZ;FRIDA;1999-12-9;paps123@gmail.com;662299798
150004;HERNANDEZ;ESCOBAR;MISAEL;1994-12-9;pepe123@gmail.com;662290895
423451;MARTINES;LOPEZ;DANIEL;1886-5-3;daniel@correo.com;662342345
423452;MONGE;PEPI;RAUL;1993-5-25;correo19@correo.com;662285659
423453;MONGE;GHIA;RAUL;1993-5-25;correo20@correo.com;662285660
423454;MONGE;BENQ;RAUL;1993-5-25;correo34@correo.com;662585660
423455;MONGE;TOSHIBA;RAUL;1993-5-25;correo64@correo.com;662285661
423456;MONGE;SONY;RAUL;1993-5-25;correo78@correo.com;662255662
423457;MONGE;LOGITECH;RAUL;1993-5-25;correo89@correo.com;662258563
423458;MONGE;HONEY;RAUL;1993-5-25;correo90@correo.com;662258564
423459;MONGE;HAWEI;RAUL;1993-5-25;correo100@correo.com;622585665
429451;MONGE;NU¤EZ;RAUL;1993-5-25;correo18@correo.com;662285658
